GEOID,COUNTY,TOTAL_AIRPORTS,AIRPORTS_2025,PCT_AIRPORTS_2025,AIRPORTS_2050,PCT_AIRPORTS_2050,TOTAL_HOSPITALS,HOSPITALS_2025,PCT_HOSPITALS_2025,HOSPITAL_2050,PCT_HOSPITALS_2050,TOTAL_KNOWN_CONTAMINATED_SITE,KNOWN_CONTAMINATED_SITE_2025,PCT_KNOWN_CONTAMINATED_SITE_2025,KNOWN_CONTAMINATED_SITE_2050,PCT_KNOWN_CONTAMINATED_SITE_2050,TOTAL_LIBRARY,LIBRARY_2025,PCT_LIBRARY_2025,LIBRARY_2050,PCT_LIBRARY_2050,TOTAL_PARKS,PARKS_2025,PCT_PARKS_2025,PARKS_2050,PCT_PARKS_2050,TOTAL_POWERPLANTS,POWERPLANTS_2025,PCT_POWERPLANTS_2025,POWERPLANTS_2050,PCT_POWERPLANTS_2050,TOTAL_SCHOOL,SCHOOL_2025,PCT_SCHOOL_2025,SCHOOL_2050,PCT_SCHOOL_2050,TOTAL_SOLID_HAZARD_WASTE,SOLID_HAZARD_WASTE_2025,PCT_SOLID_HAZARD_WASTE_2025,SOLID_HAZARD_WASTE_2050,PCT_SOLID_HAZARD_WASTE_2050,TOTAL_SOLID_WASTE_LANDFILL,SOLID_WASTE_LANDFILL_2025,PCT_SOLID_WASTE_LANDFILL_2025,SOLID_WASTE_LANDFILL_2050,PCT_SOLID_WASTE_LANDFILL_2050,TOTAL_SUPERFUND,SUPERFUND_2025,PCT_SUPERFUND_2025,SUPERFUND_2050,PCT_SUPERFUND_2050,TOTAL_WASTEWATER_TREATMENT,WASTEWATER_TREATMENT_2025,PCT_WASTEWATER_TREATMENT_2025,WASTEWATER_TREATMENT_2050,PCT_WASTEWATER_TREATMENT_2050,TOTAL_POLICE_STATION,POLICE_STATION_2025,PCT_POLICE_STATION_2025,POLICE_STATION_2050,PCT_POLICE_STATION_2050,TOTAL_FIRE_DEPARTMENT,FIRE_DEPARTMENT_2025,PCT_FIRE_DEPARTMENT_2025,FIRE_DEPARTMENT_2050,PCT_FIRE_DEPARTMENT_2050
34001,ATLANTIC,5,1,20.00%,1,20.00%,18,5,27.80%,8,44.40%,284,128,45.10%,150,52.80%,17,6,35.30%,7,41.20%,99,74,74.70%,77,77.80%,17,6,35.30%,6,35.30%,99,17,17.20%,25,25.30%,11,,0.00%,,0.00%,34,1,2.90%,4,11.80%,6,0,0.00%,0,0.00%,3,2,66.70%,2,66.70%,23,6,26.10%,7,30.40%,58,16,27.59%,20,34.50%
34003,BERGEN,1,1,100.00%,1,100.00%,13,3,23.10%,4,30.80%,925,299,32.30%,452,48.90%,63,10,15.90%,18,28.60%,363,172,47.40%,211,58.10%,7,2,28.60%,4,57.10%,414,20,4.80%,53,12.80%,11,6,54.50%,7,63.60%,31,9,29.00%,15,48.40%,9,5,55.60%,6,66.70%,8,4,50.00%,4,50.00%,74,12,16.20%,22,29.70%,135,16,11.85%,35,25.90%
34005,BURLINGTON,10,1,10.00%,1,10.00%,12,1,8.30%,1,8.30%,350,64,18.30%,121,34.60%,19,2,10.50%,5,26.30%,98,69,70.40%,74,75.50%,38,1,2.60%,7,18.40%,175,6,3.40%,25,14.30%,11,,0.00%,1,9.10%,30,1,3.30%,5,16.70%,11,0,0.00%,2,18.20%,25,10,40.00%,14,56.00%,41,4,9.80%,6,14.60%,71,8,11.27%,17,23.90%
34007,CAMDEN,1,0,0.00%,1,100.00%,18,1,5.60%,3,16.70%,469,116,24.70%,160,34.10%,21,,0.00%,2,9.50%,198,95,48.00%,111,56.10%,19,4,21.10%,7,36.80%,222,6,2.70%,19,8.60%,11,3,27.30%,4,36.40%,27,4,14.80%,5,18.50%,10,3,30.00%,6,60.00%,1,1,100.00%,1,100.00%,45,4,8.90%,8,17.80%,68,3,4.41%,9,13.20%
34009,CAPE MAY,4,2,50.00%,2,50.00%,2,0,0.00%,1,50.00%,84,33,39.30%,44,52.40%,10,5,50.00%,6,60.00%,96,74,77.10%,89,92.70%,3,0,0.00%,1,33.30%,39,12,30.80%,17,43.60%,7,,0.00%,,0.00%,14,3,21.40%,5,35.70%,1,0,0.00%,0,0.00%,5,2,40.00%,3,60.00%,14,8,57.10%,10,71.40%,34,17,50.00%,20,58.80%
34011,CUMBERLAND,8,1,12.50%,3,37.50%,16,1,6.30%,3,18.80%,150,16,10.70%,31,20.70%,4,,0.00%,0,0.00%,43,12,27.90%,15,34.90%,20,1,5.00%,2,10.00%,58,1,1.70%,5,8.60%,7,,0.00%,,0.00%,15,2,13.30%,2,13.30%,4,0,0.00%,2,50.00%,3,2,66.70%,3,100.00%,18,,0.00%,1,5.60%,29,5,17.24%,10,34.50%
34013,ESSEX,2,1,50.00%,2,100.00%,28,0,0.00%,1,3.60%,1039,213,20.50%,478,46.00%,30,3,10.00%,10,33.30%,141,25,17.70%,43,30.50%,21,5,23.80%,8,38.10%,337,14,4.20%,50,14.80%,7,2,28.60%,5,71.40%,11,1,9.10%,2,18.20%,8,5,62.50%,8,100.00%,5,0,0.00%,2,40.00%,40,6,15.00%,14,35.00%,64,5,7.81%,18,28.10%
34015,GLOUCESTER,6,0,0.00%,1,16.70%,4,1,25.00%,1,25.00%,231,23,10.00%,44,19.00%,16,2,12.50%,3,18.80%,73,41,56.20%,44,60.30%,17,1,5.90%,2,11.80%,115,3,2.60%,7,6.10%,11,3,27.30%,5,45.50%,23,2,8.70%,5,21.70%,9,1,11.10%,3,33.30%,5,4,80.00%,5,100.00%,26,2,7.70%,3,11.50%,53,1,1.89%,4,7.50%
34017,HUDSON,0,,#DIV/0!,,#DIV/0!,24,7,29.20%,8,33.30%,902,437,48.40%,572,63.40%,27,7,25.90%,9,33.30%,214,110,51.40%,136,63.60%,21,16,76.20%,19,90.50%,197,46,23.40%,54,27.40%,16,9,56.30%,11,68.80%,18,8,44.40%,10,55.60%,4,3,75.00%,4,100.00%,5,4,80.00%,4,80.00%,23,3,13.00%,5,21.70%,52,13,25.00%,16,30.80%
34017,HUNTERDON,14,0,0.00%,,0.00%,2,0,0.00%,0,0.00%,126,17,13.50%,32,25.40%,13,1,7.70%,4,30.80%,42,27,64.30%,28,66.70%,16,1,6.30%,2,12.50%,65,,0.00%,2,3.10%,6,1,16.70%,1,16.70%,5,2,40.00%,2,40.00%,3,2,66.70%,2,66.70%,15,7,46.70%,8,53.30%,22,3,13.60%,7,31.80%,34,5,14.71%,10,29.40%
34019,MERCER,3,0,0.00%,,0.00%,11,0,0.00%,0,0.00%,336,47,14.00%,87,25.90%,16,1,6.30%,2,12.50%,147,64,43.50%,78,53.10%,26,0,0.00%,2,7.70%,159,3,1.90%,12,7.50%,9,3,33.30%,3,33.30%,9,1,11.10%,1,11.10%,,,,,,9,6,66.70%,6,66.70%,25,1,4.00%,3,12.00%,33,2,6.06%,5,15.20%
34021,MIDDLESEX,1,0,0.00%,,0.00%,15,0,0.00%,0,0.00%,738,114,15.40%,206,27.90%,31,4,12.90%,7,22.60%,212,109,51.40%,125,59.00%,63,7,11.10%,13,20.60%,304,8,2.60%,28,9.20%,26,3,11.50%,5,19.20%,49,10,20.40%,14,28.60%,14,4,28.60%,5,35.70%,2,0,0.00%,0,0.00%,35,3,8.60%,8,22.90%,88,9,10.23%,13,14.80%
34023,MONMOUTH,5,0,0.00%,1,20.00%,15,2,13.30%,8,53.30%,534,78,14.60%,168,31.50%,38,5,13.20%,12,31.60%,246,138,56.10%,170,69.10%,26,3,11.50%,5,19.20%,289,14,4.80%,46,15.90%,19,1,5.30%,1,5.30%,29,6,20.70%,10,34.50%,9,1,11.10%,2,22.20%,15,5,33.30%,8,53.30%,55,7,12.70%,15,27.30%,123,22,17.89%,38,30.90%
34025,MORRIS,2,2,100.00%,2,100.00%,12,0,0.00%,2,16.70%,389,72,18.50%,126,32.40%,36,4,11.10%,6,16.70%,163,64,39.30%,74,45.40%,14,0,0.00%,1,7.10%,220,2,0.90%,18,8.20%,14,1,7.10%,3,21.40%,21,3,14.30%,4,19.00%,9,4,44.40%,5,55.60%,23,9,39.10%,13,56.50%,41,4,9.80%,6,14.60%,91,12,13.19%,25,27.50%
34027,OCEAN,4,0,0.00%,1,25.00%,17,2,11.80%,3,17.60%,176,43,24.40%,60,34.10%,22,5,22.70%,8,36.40%,180,142,78.90%,151,83.90%,18,2,11.10%,3,16.70%,296,10,3.40%,30,10.10%,10,,0.00%,,0.00%,29,0,0.00%,1,3.40%,4,0,0.00%,1,25.00%,4,1,25.00%,2,50.00%,34,13,38.20%,17,50.00%,81,20,24.69%,28,34.60%
34029,PASSAIC,2,0,0.00%,,0.00%,8,2,25.00%,2,25.00%,436,79,18.10%,159,36.50%,21,3,14.30%,7,33.30%,116,53,45.70%,74,63.80%,6,3,50.00%,3,50.00%,211,10,4.70%,44,20.90%,13,3,23.10%,6,46.20%,9,1,11.10%,3,33.30%,1,0,0.00%,0,0.00%,10,5,50.00%,8,80.00%,20,2,10.00%,5,25.00%,56,7,12.50%,16,28.60%
34031,SALEM,7,0,0.00%,3,42.90%,3,1,33.30%,1,33.30%,94,26,27.70%,46,48.90%,4,,0.00%,1,25.00%,13,11,84.60%,12,92.30%,4,0,0.00%,2,50.00%,35,2,5.70%,10,28.60%,5,1,20.00%,1,20.00%,15,1,6.70%,2,13.30%,1,0,0.00%,1,100.00%,7,7,100.00%,7,100.00%,9,2,22.20%,3,33.30%,24,7,29.17%,10,41.70%
34033,SOMERSET,3,0,0.00%,,0.00%,4,0,0.00%,0,0.00%,234,40,17.10%,59,25.20%,19,1,5.30%,2,10.50%,149,89,59.70%,94,63.10%,23,1,4.30%,1,4.30%,147,6,4.10%,16,10.90%,8,,0.00%,1,12.50%,17,5,29.40%,7,41.20%,6,1,16.70%,2,33.30%,13,7,53.80%,10,76.90%,23,3,13.00%,7,30.40%,53,9,16.98%,15,28.30%
34035,SUSSEX,2,0,0.00%,2,100.00%,2,0,0.00%,0,0.00%,105,14,13.30%,24,22.90%,7,2,28.60%,2,28.60%,79,39,49.40%,47,59.50%,10,0,0.00%,1,10.00%,58,,0.00%,5,8.60%,6,,0.00%,,0.00%,10,0,0.00%,1,10.00%,3,0,0.00%,0,0.00%,10,2,20.00%,3,30.00%,14,1,7.10%,3,21.40%,42,3,7.14%,8,19.00%
34037,UNION,2,0,0.00%,1,50.00%,16,1,6.30%,3,18.80%,614,117,19.10%,246,40.10%,24,1,4.20%,7,29.20%,169,62,36.70%,97,57.40%,19,9,47.40%,10,52.60%,251,15,6.00%,52,20.70%,18,6,33.30%,8,44.40%,15,8,53.30%,12,80.00%,2,2,100.00%,2,100.00%,5,4,80.00%,4,80.00%,26,2,7.70%,10,38.50%,42,5,11.90%,16,38.10%
34039,WARREN,8,1,12.50%,2,25.00%,4,0,0.00%,0,0.00%,101,12,11.90%,26,25.70%,9,1,11.10%,1,11.10%,51,31,60.80%,32,62.70%,13,0,0.00%,0,0.00%,45,1,2.20%,6,13.30%,4,,0.00%,,0.00%,11,0,0.00%,0,0.00%,1,0,0.00%,0,0.00%,7,3,42.90%,4,57.10%,16,1,6.30%,3,18.80%,30,3,10.00%,8,26.70%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,